CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37357,Estancia de la Joya,0,0,0,0,0,0,0,0,0,0,1/2025
37667,Estancia de los Sapos,0,0,0,0,0,0,0,0,0,0,1/2025
37667,Estancia de Vaqueros,0,0,0,0,0,0,0,0,0,0,1/2025
37266,Estrella,0,0,0,0,0,0,0,0,0,0,1/2025
37260,Ex Hacienda la Morena I,0,0,0,0,0,0,0,0,0,0,1/2025
37260,Ex Hacienda la Morena II,0,0,0,0,0,0,0,0,0,0,1/2025
37288,Eyupol,2,0,0,0,0,0,0,0,0,0,1/2025
37360,Fátima,0,0,0,0,0,0,0,0,0,0,1/2025
37179,Fincas Sayavedra,0,0,0,0,0,0,0,0,0,0,1/2025
37350,Flores Magón,0,0,0,0,0,0,0,0,0,0,1/2025
37189,Ford del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37548,Foresta Jardín,0,0,0,0,0,0,0,0,0,0,1/2025
37500,Fracción del Coecillo,0,0,0,0,0,0,0,0,0,0,1/2025
37550,Fracción del Granjeno,0,0,0,0,0,0,0,0,0,0,1/2025
37490,Fraccionamiento Industrial la Pompa,0,0,0,0,0,0,0,0,0,0,1/2025
37208,Fracciones de Echeveste (pro),0,0,0,0,0,0,0,0,0,0,1/2025
37490,Fracciones de Hacienda La Pompa,0,0,0,0,0,0,0,0,0,0,1/2025
37530,Fracciones de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37564,Fracciones de los Arcos,0,0,0,0,0,0,0,0,0,0,1/2025
37148,Fracciones de Los Gómez,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Fracciones de Mesa Medina,0,0,0,0,0,0,0,0,0,0,1/2025
37477,Fracciones de San Nicolás,0,0,0,0,0,0,0,0,0,0,1/2025
37566,Fracciones de Santa Lucía,0,0,0,0,0,0,0,0,0,0,1/2025
37287,Fracciones del Crespo,0,0,0,0,0,0,0,0,0,0,1/2025
37438,Fracciones del Guaje,0,0,0,0,0,0,0,0,0,0,1/2025
37170,Fracciones del Palote,0,0,0,0,0,0,0,0,0,0,1/2025
37290,Fracciones del Predio Santa Julia de Jerez,0,2,0,0,0,0,0,0,0,0,1/2025
37125,Fracciones del Rosario,0,0,0,0,0,0,0,0,0,0,1/2025
37289,Fracciones San Pedro,0,0,0,0,0,0,0,0,0,0,1/2025
37020,Francisco Lozornio,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Frutales de la Hacienda,0,0,0,0,0,0,0,0,0,0,1/2025
37295,Fuentes del Valle,0,0,0,0,0,0,0,0,0,0,1/2025
37180,Futurama Monterrey,0,0,0,0,0,0,0,0,0,0,1/2025
37138,Gran Jardín,0,0,0,0,0,0,0,0,0,0,1/2025
37306,Granada,0,0,0,0,0,0,0,0,0,0,1/2025
37289,Granja Ceres,0,0,0,0,0,0,0,0,0,0,1/2025
37685,Granja San Rafael,0,0,0,0,0,0,0,0,0,0,1/2025
37440,Granjas Campestre,2,0,0,0,0,0,0,0,0,0,1/2025
37130,Granjas del Rosario,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Granjas Echeveste,0,0,0,0,0,0,0,0,0,0,1/2025
37683,Granjas Económicas,0,0,0,0,0,0,0,0,0,0,1/2025
37130,Granjas El Palote,0,0,0,0,0,0,0,0,0,0,1/2025
37530,Granjas Jardines de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37438,Granjas las Amalias,0,0,0,0,0,0,0,0,0,0,1/2025
37688,Granjas las Palomas,0,0,0,0,0,0,0,0,0,0,1/2025
37544,Granjas San Carlos,0,0,0,0,0,0,0,0,0,0,1/2025
37570,Granjeno Plus (IVEG),0,0,0,0,0,0,0,0,0,0,1/2025
